time.seconds,ekf.pos.north,ekf.pos.east,ekf.pos.down,ekf.vel.north,ekf.vel.east,ekf.vel.down,ekf.vel_body.north,ekf.vel_body.east,ekf.vel_body.down,ekf.att_q.w,ekf.att_q.x,ekf.att_q.y,ekf.att_q.z,ekf.att_euler.roll,ekf.att_euler.pitch,ekf.att_euler.yaw,ekf.ang_vel.roll,ekf.ang_vel.pitch,ekf.ang_vel.yaw,imu.acc_body.north,imu.acc_body.east,imu.acc_body.down,imu.ang_vel.roll,imu.ang_vel.pitch,imu.ang_vel.yaw,imu.mag.north,imu.mag.east,imu.mag.down,mocap.pos.north,mocap.pos.east,mocap.pos.down,mocap.att_q.w,mocap.att_q.x,mocap.att_q.y,mocap.att_q.z,mocap.att_euler.roll,mocap.att_euler.pitch,mocap.att_euler.yaw,info.flight_mode,info.is_armed,info.is_landed,info.battery,pos_ref.north,pos_ref.east,pos_ref.down
50.272,-1.996717929840088,-0.005763889756053686,-0.049973346292972565,0.0024701636284589767,-0.012556268833577633,0.008275406435132027,-0.012427360800700978,-0.002290033820953505,0.008518237969773015,0.7071058351307681,0.013084998504383978,0.002265319679747915,0.7069830568644317,0.021709746997904556,-0.015302305133548189,1.5707887911495497,-0.005338653922080994,0.0031445100903511047,-0.00022383303439710354,-0.18010513484477877,-0.22986063361167908,-9.820940971374512,-0.005338653922080994,0.0031445100903511047,-0.00022383303439710354,-0.005338653922080994,0.0031445100903511047,-0.00022383303439710354,-1.9978864543562034,0.0010601386324522,-0.05075720308763271,0.7081965913583466,0.0003392889110013517,0.0020333032226925746,0.7060122793191763,0.021709746997904556,-0.015302305133548189,1.5707887911495497,OFFBOARD,True,True,100.0,-1.9951585531234741,-0.0006753986817784607,-0.05466296896338463
50.304,-1.996717929840088,-0.005763889756053686,-0.049973346292972565,0.0024701636284589767,-0.012556268833577633,0.008275406435132027,-0.012427360800700978,-0.002290033820953505,0.008518237969773015,0.7071058351307681,0.013084998504383978,0.002265319679747915,0.7069830568644317,0.021709746997904556,-0.015302305133548189,1.5707887911495497,-0.005338653922080994,0.0031445100903511047,-0.00022383303439710354,-0.17231595516204715,-0.2525425851345062,-9.797508239746094,-0.008200423792004585,0.003033996094018221,0.0021429569460451594,-0.008200423792004585,0.003033996094018221,0.0021429569460451594,-2.000331384764987,0.003940737836020652,-0.0564984311975241,0.708163405066441,-0.0016999950359889468,-0.0031443138815356398,0.7060395279527882,0.021709746997904556,-0.015302305133548189,1.5707887911495497,OFFBOARD,True,True,100.0,-1.9951585531234741,-0.0006753986817784607,-0.05466296896338463
50.336,-1.9968574047088623,-0.005779714323580265,-0.05004999041557312,0.002644058782607317,-0.012264445424079895,0.008368714712560177,-0.01213425246016946,-0.0024617373835448954,0.008610618977670348,0.7070937532159807,0.013069307693664526,0.0022562189239198486,0.7069955602477042,0.02167441794435209,-0.015293353551872342,1.5708231957533214,-0.008200423792004585,0.003033996094018221,0.0021429569460451594,-0.19072477519512057,-0.19903741776943207,-9.77978229522705,-0.005327137187123299,0.002343527739867568,-0.003037845483049751,-0.005327137187123299,0.002343527739867568,-0.003037845483049751,-1.9983439067204698,-0.001930519652736799,-0.059886116205367934,0.7077374276459344,0.0030225084465491004,-0.00026479183379424665,0.7064690565319128,0.02167441794435209,-0.015293353551872342,1.5708231957533214,OFFBOARD,True,True,100.0,-1.9951585531234741,-0.0006753986817784607,-0.05466296896338463
50.372,-1.997199535369873,-0.005819851532578468,-0.050164297223091125,0.0021710738074034452,-0.011885171756148338,0.008236132562160492,-0.011756791974238174,-0.001992715494368807,0.008462367635667017,0.7071191058830285,0.013074777893620085,0.0022403265985809547,0.7069700389932623,0.02166023098506144,-0.015322790234456546,1.5707514531532911,-0.0065637510269880295,0.002931587165221572,-0.0013798751169815668,-0.1423325687646854,-0.23662827908992767,-9.847029685974121,-0.0065637510269880295,0.002931587165221572,-0.0013798751169815668,-0.0065637510269880295,0.002931587165221572,-0.0013798751169815668,-1.9969905025068384,0.001657895505547673,-0.0536016651942299,0.7086213105263299,0.0006131190022517097,-0.00035613807448772706,0.7055886446922937,0.02166023098506144,-0.015322790234456546,1.5707514531532911,OFFBOARD,True,True,100.0,-1.9951585531234741,-0.0006753986817784607,-0.05466296896338463
50.404,-1.997199535369873,-0.005819851532578468,-0.050164297223091125,0.0021710738074034452,-0.011885171756148338,0.008236132562160492,-0.011756791974238174,-0.001992715494368807,0.008462367635667017,0.7071191058830285,0.013074777893620085,0.0022403265985809547,0.7069700389932623,0.02166023098506144,-0.015322790234456546,1.5707514531532911,-0.0065637510269880295,0.002931587165221572,-0.0013798751169815668,-0.16452479362487674,-0.21236290037631989,-9.77717399597168,-0.007248226087540388,-0.001202485989779234,0.0005818195058964184,-0.007248226087540388,-0.001202485989779234,0.0005818195058964184,-2.0037367939901345,0.0026959674275301927,-0.05012993915653927,0.7089629811036026,9.047160562755674e-05,0.0017102582952871555,0.7052436162462904,0.02166023098506144,-0.015322790234456546,1.5707514531532911,OFFBOARD,True,True,100.0,-1.9951585531234741,-0.0006753986817784607,-0.05466296896338463
50.436,-1.9973989725112915,-0.005757117178291082,-0.050230927765369415,0.0022077944595366716,-0.011214004829525948,0.008432063274085522,-0.011082218650442836,-0.00202523795459338,0.008649321595018165,0.7071193075674289,0.013090590864345766,0.0022178254498322007,0.7069696687214678,0.021650778812071843,-0.015376975011359066,1.570751158390728,-0.007248226087540388,-0.001202485989779234,0.0005818195058964184,-0.15448421239852786,-0.1820695400238037,-9.79134464263916,-0.00462338887155056,0.0026511100586503744,-0.0008549353224225348,-0.00462338887155056,0.0026511100586503744,-0.0008549353224225348,-2.0024781185260854,-0.0012392674468935003,-0.06022950331017332,0.7073197711852789,-0.0011594553351916758,0.0007585122766333439,0.7068923691856185,0.021650778812071843,-0.015376975011359066,1.570751158390728,OFFBOARD,True,True,100.0,-1.9951585531234741,-0.0006753986817784607,-0.05466296896338463
50.472,-1.997685194015503,-0.005638793110847473,-0.05042465776205063,0.0017693269765004516,-0.010954998433589935,0.007986046373844147,-0.010828984642213239,-0.0015964928890741634,0.008191687524427043,0.7071503737563383,0.013182623447153112,0.0022122650292790494,0.7069368323649211,0.02177377764536977,-0.015514055479471368,1.5706632165385084,-0.003952186554670334,0.0009922748431563377,0.0011684598866850133,-0.17483191192149997,-0.23332267999649048,-9.811660766601562,-0.003952186554670334,0.0009922748431563377,0.0011684598866850133,-0.003952186554670334,0.0009922748431563377,0.0011684598866850133,-1.9989050550377097,-0.0027495783953496644,-0.05340144115534529,0.7052273158493586,-0.004509710263164265,-0.0003592530754265872,0.7089668302752103,0.02177377764536977,-0.015514055479471368,1.5706632165385084,OFFBOARD,True,True,100.0,0.002601027488708496,0.9942428828217089,-1.0502309277653694
50.504,-1.997685194015503,-0.005638793110847473,-0.05042465776205063,0.0017693269765004516,-0.010954998433589935,0.007986046373844147,-0.010828984642213239,-0.0015964928890741634,0.008191687524427043,0.7071503737563383,0.013182623447153112,0.0022122650292790494,0.7069368323649211,0.02177377764536977,-0.015514055479471368,1.5706632165385084,-0.003952186554670334,0.0009922748431563377,0.0011684598866850133,-0.19231314957141757,-0.22492045164108276,-9.775920867919922,-0.0074828509241342545,0.001642165589146316,0.0008121814462356261,-0.0074828509241342545,0.001642165589146316,0.0008121814462356261,-1.995434554001044,-0.002233037266369177,-0.05281944058817793,0.7038611194189678,0.0026234141461118445,0.002278467797203168,0.7103291144624391,0.02177377764536977,-0.015514055479471368,1.5706632165385084,OFFBOARD,True,True,100.0,0.002601027488708496,0.9942428828217089,-1.0502309277653694
50.536,-1.9978134632110596,-0.005618318449705839,-0.05051632970571518,0.0017671226523816586,-0.010862682946026325,0.008339155465364456,-0.010731096203528271,-0.00158672352690619,0.00854329932769546,0.707146464759616,0.013177064343688977,0.0021962330925044647,0.7069409942427344,0.021743153266706387,-0.015528989281118353,1.5706745563334583,-0.0074828509241342545,0.001642165589146316,0.0008121814462356261,-0.18740417063236117,-0.18680332601070404,-9.792901992797852,-0.002315051620826125,0.00044785893987864256,0.0007615110953338441,-0.002315051620826125,0.00044785893987864256,0.0007615110953338441,-1.9977200862978912,0.0008469419014002039,-0.05727379060646758,0.7072970680512616,-0.0009574816931187562,-0.0012435648945694792,0.7069147008665538,0.021743153266706387,-0.015528989281118353,1.5706745563334583,OFFBOARD,True,True,100.0,0.002601027488708496,0.9942428828217089,-1.0502309277653694
50.572,-1.998116374015808,-0.005555111449211836,-0.05062286555767059,0.0020654709078371525,-0.009508976712822914,0.008086740970611572,-0.009380895393048741,-0.0018897122566582276,0.008277075199133581,0.7071369734251561,0.013213679418332817,0.002190747416752968,0.7069497269339211,0.02178698233751814,-0.015588827731937715,1.5707013234260272,-0.004768407437950373,0.0014968686737120152,-0.00040978481411002636,-0.11743459105491519,-0.2614668905735016,-9.790008544921875,-0.004768407437950373,0.0014968686737120152,-0.00040978481411002636,-0.004768407437950373,0.0014968686737120152,-0.00040978481411002636,-1.9960898409385852,0.00197290667856189,-0.054841823450181605,0.7073046639542334,-0.0012822416294108574,0.0009327505423394245,0.7069070647414826,0.02178698233751814,-0.015588827731937715,1.5707013234260272,OFFBOARD,True,True,100.0,0.002601027488708496,0.9942428828217089,-1.0502309277653694
50.604,-1.998214840888977,-0.005373922176659107,-0.050660908222198486,0.002738032955676317,-0.008347098715603352,0.007998809218406677,-0.008220046725610284,-0.002564137279352359,0.008185832009468114,0.7071404320083043,0.013214739345718414,0.0021776190027140785,0.70694635264447,0.021769989806638225,-0.015608789259728107,1.5706917442722768,-0.00705772964283824,0.0008774340385571122,-0.0020785448141396054,-0.14359353482723117,-0.21264129877090454,-9.76961612701416,-0.00705772964283824,0.0008774340385571122,-0.0020785448141396054,-0.00705772964283824,0.0008774340385571122,-0.0020785448141396054,-2.0002713587965935,-0.002043424446408354,-0.054328096913890976,0.7069551309046694,0.001345317715087677,0.0016585857840877868,0.7072551746724826,0.021769989806638225,-0.015608789259728107,1.5706917442722768,OFFBOARD,True,True,100.0,0.002601027488708496,0.9942428828217089,-1.0502309277653694
50.636,-1.9982519149780273,-0.005095183849334717,-0.05070905759930611,0.0025610083248466253,-0.007379055954515934,0.007450929377228022,-0.007260391471093681,-0.0023990174192106235,0.0076195154223808875,0.7071358544962986,0.013226673489292077,0.0021530816343466423,0.7069506772753846,0.02175207138534517,-0.015660514515316262,1.570704757645621,-0.007815906777977943,8.630764205008745e-05,-3.7079415051267506e-05,-0.16720229387283206,-0.21622592210769653,-9.817482948303223,-0.007815906777977943,8.630764205008745e-05,-3.7079415051267506e-05,-0.007815906777977943,8.630764205008745e-05,-3.7079415051267506e-05,-1.999140536715734,0.0008809939870301495,-0.053609703448174416,0.7084633135721756,-0.00013785594320619163,-0.0018383479053487308,0.7057452336325416,0.02175207138534517,-0.015660514515316262,1.570704757645621,OFFBOARD,True,True,100.0,0.002601027488708496,0.9942428828217089,-1.0502309277653694
50.672,-1.9982694387435913,-0.004745638929307461,-0.050771042704582214,0.003012248547747731,-0.006340616848319769,0.007323317229747772,-0.0062231272573777755,-0.0028527137507256065,0.007486169653669231,0.7071323931554954,0.013266247404410283,0.0021186562201918457,0.7069536328540057,0.021759283881583134,-0.015765285380191413,1.5707150297331058,-0.005187369883060455,0.0006343412678688765,-0.001525622443296016,-0.16843268275260806,-0.23760394752025604,-9.79529857635498,-0.005187369883060455,0.0006343412678688765,-0.001525622443296016,-0.005187369883060455,0.0006343412678688765,-0.001525622443296016,-2.0005398293263146,-0.0009610997007812173,-0.058090434252803184,0.7058929257954862,0.0015519773134182466,0.006925687808970356,0.7082829967793097,0.021759283881583134,-0.015765285380191413,1.5707150297331058,OFFBOARD,True,True,100.0,0.002601027488708496,0.9942428828217089,-1.0502309277653694
50.704,-1.9983068704605103,-0.004422688391059637,-0.05083959922194481,0.0030273462180048227,-0.00573206041008234,0.00748099759221077,-0.005611968907903302,-0.0028644035724950654,0.007634635856686733,0.7071244195191723,0.013268476577569804,0.0020972554993159316,0.7069615221966319,0.021731996260551396,-0.0157989515137945,1.5707376161071727,-0.006156959105283022,0.00042497680988162756,0.0015184743097051972,-0.1445649415254581,-0.2171560525894165,-9.81563663482666,-0.006156959105283022,0.00042497680988162756,0.0015184743097051972,-0.006156959105283022,0.00042497680988162756,0.0015184743097051972,-2.002914800601756,0.0023661865631908518,-0.056854359051585916,0.7077347318509224,-0.0002873749218078896,0.0011855559120813194,0.7064772191689812,0.021731996260551396,-0.0157989515137945,1.5707376161071727,OFFBOARD,True,True,100.0,0.002601027488708496,0.9942428828217089,-1.0502309277653694
50.736,-1.9983068704605103,-0.004422688391059637,-0.05083959922194481,0.0030273462180048227,-0.00573206041008234,0.00748099759221077,-0.005611968907903302,-0.0028644035724950654,0.007634635856686733,0.7071244195191723,0.013268476577569804,0.0020972554993159316,0.7069615221966319,0.021731996260551396,-0.0157989515137945,1.5707376161071727,-0.006156959105283022,0.00042497680988162756,0.0015184743097051972,-0.14852622151374698,-0.21332672238349915,-9.782577514648438,-0.004724445752799511,0.0002161490119760856,3.0324725230456682e-05,-0.004724445752799511,0.0002161490119760856,3.0324725230456682e-05,-1.9967068967763295,0.0008004421096415159,-0.05282721948111763,0.7075451307590276,-0.004442685812918348,0.0020005586860263177,0.7066513625875932,0.021731996260551396,-0.0157989515137945,1.5707376161071727,OFFBOARD,True,True,100.0,0.002601027488708496,0.9942428828217089,-1.0502309277653694
