N,E
-7.0,0.0
-7.0,0.1
-7.0,0.2
-7.0,0.30000000000000004
-7.0,0.4
-7.0,0.5
-7.0,0.6
-7.0,0.7
-7.0,0.7999999999999999
-7.0,0.8999999999999999
-7.0,0.9999999999999999
-7.0,1.0999999999999999
-7.0,1.2
-7.0,1.3
-7.0,1.4000000000000001
-7.0,1.5000000000000002
-7.0,1.6000000000000003
-7.0,1.7000000000000004
-7.0,1.8000000000000005
-7.0,1.9000000000000006
-7.0,2.0000000000000004
-7.0,2.1000000000000005
-7.0,2.2000000000000006
-7.0,2.3000000000000007
-7.0,2.400000000000001
-7.0,2.500000000000001
-7.0,2.600000000000001
-7.0,2.700000000000001
-7.0,2.800000000000001
-7.0,2.9000000000000012
-7.0,3.0000000000000013
-7.0,3.1000000000000014
-7.0,3.2000000000000015
-7.0,3.3000000000000016
-7.0,3.4000000000000017
-7.0,3.5000000000000018
-7.0,3.600000000000002
-7.0,3.700000000000002
-7.0,3.800000000000002
-7.0,3.900000000000002
-7.0,4.000000000000002
-7.0,4.100000000000001
-7.0,4.200000000000001
-7.0,4.300000000000001
-7.0,4.4
-7.0,4.5
-7.0,4.6
-7.0,4.699999999999999
-7.0,4.799999999999999
-7.0,4.899999999999999
-7.0,4.999999999999998
-6.9,4.999999999999998
-6.800000000000001,4.999999999999998
-6.700000000000001,4.999999999999998
-6.600000000000001,4.999999999999998
-6.500000000000002,4.999999999999998
-6.400000000000002,4.999999999999998
-6.3000000000000025,4.999999999999998
-6.200000000000003,4.999999999999998
-6.100000000000003,4.999999999999998
-6.0000000000000036,4.999999999999998
-5.900000000000004,4.999999999999998
-5.800000000000004,4.999999999999998
-5.700000000000005,4.999999999999998
-5.600000000000005,4.999999999999998
-5.500000000000005,4.999999999999998
-5.400000000000006,4.999999999999998
-5.300000000000006,4.999999999999998
-5.200000000000006,4.999999999999998
-5.100000000000007,4.999999999999998
-5.000000000000007,4.999999999999998
-4.9000000000000075,4.999999999999998
-4.800000000000008,4.999999999999998
-4.700000000000008,4.999999999999998
-4.6000000000000085,4.999999999999998
-4.500000000000009,4.999999999999998
-4.400000000000009,4.999999999999998
-4.30000000000001,4.999999999999998
-4.20000000000001,4.999999999999998
-4.10000000000001,4.999999999999998
-4.000000000000011,4.999999999999998
-4.000000000000011,4.899999999999999
-4.000000000000011,4.799999999999999
-4.000000000000011,4.699999999999999
-4.000000000000011,4.6
-4.000000000000011,4.5
-4.000000000000011,4.4
-4.000000000000011,4.300000000000001
-4.000000000000011,4.200000000000001
-4.000000000000011,4.100000000000001
-4.000000000000011,4.000000000000002
-4.10000000000001,4.000000000000002
-4.20000000000001,4.000000000000002
-4.30000000000001,4.000000000000002
-4.400000000000009,4.000000000000002
-4.500000000000009,4.000000000000002
-4.6000000000000085,4.000000000000002
-4.700000000000008,4.000000000000002
-4.800000000000008,4.000000000000002
-4.9000000000000075,4.000000000000002
-5.000000000000007,4.000000000000002
-5.100000000000007,4.000000000000002
-5.200000000000006,4.000000000000002
-5.300000000000006,4.000000000000002
-5.400000000000006,4.000000000000002
-5.500000000000005,4.000000000000002
-5.600000000000005,4.000000000000002
-5.700000000000005,4.000000000000002
-5.800000000000004,4.000000000000002
-5.900000000000004,4.000000000000002
-6.0000000000000036,4.000000000000002
-6.0000000000000036,3.9000000000000017
-6.0000000000000036,3.8000000000000016
-6.0000000000000036,3.7000000000000015
-6.0000000000000036,3.6000000000000014
-6.0000000000000036,3.5000000000000013
-6.0000000000000036,3.4000000000000012
-6.0000000000000036,3.300000000000001
-6.0000000000000036,3.200000000000001
-6.0000000000000036,3.100000000000001
-6.0000000000000036,3.000000000000001
-5.900000000000004,3.000000000000001
-5.800000000000004,3.000000000000001
-5.700000000000005,3.000000000000001
-5.600000000000005,3.000000000000001
-5.500000000000005,3.000000000000001
-5.400000000000006,3.000000000000001
-5.300000000000006,3.000000000000001
-5.200000000000006,3.000000000000001
-5.100000000000007,3.000000000000001
-5.000000000000007,3.000000000000001
-5.000000000000007,2.900000000000001
-5.000000000000007,2.8000000000000007
-5.000000000000007,2.7000000000000006
-5.000000000000007,2.6000000000000005
-5.000000000000007,2.5000000000000004
-5.000000000000007,2.4000000000000004
-5.000000000000007,2.3000000000000003
-5.000000000000007,2.2
-5.000000000000007,2.1
-5.000000000000007,2.0
-5.100000000000007,2.0
-5.200000000000006,2.0
-5.300000000000006,2.0
-5.400000000000006,2.0
-5.500000000000005,2.0
-5.600000000000005,2.0
-5.700000000000005,2.0
-5.800000000000004,2.0
-5.900000000000004,2.0
-6.0000000000000036,2.0
-6.0000000000000036,1.9
-6.0000000000000036,1.7999999999999998
-6.0000000000000036,1.6999999999999997
-6.0000000000000036,1.5999999999999996
-6.0000000000000036,1.4999999999999996
-6.0000000000000036,1.3999999999999995
-6.0000000000000036,1.2999999999999994
-6.0000000000000036,1.1999999999999993
-6.0000000000000036,1.0999999999999992
-6.0000000000000036,0.9999999999999992
-6.0000000000000036,0.8999999999999992
-6.0000000000000036,0.7999999999999993
-6.0000000000000036,0.6999999999999993
-6.0000000000000036,0.5999999999999993
-6.0000000000000036,0.49999999999999933
-6.0000000000000036,0.39999999999999936
-6.0000000000000036,0.2999999999999994
-6.0000000000000036,0.19999999999999937
-6.0000000000000036,0.09999999999999937
-6.0000000000000036,-6.38378239159465e-16
-6.100000000000003,-6.261317711679915e-16
-6.200000000000003,-6.138853031765179e-16
-6.3000000000000025,-6.016388351850443e-16
-6.400000000000002,-5.893923671935708e-16
-6.500000000000002,-5.771458992020972e-16
-6.600000000000001,-5.648994312106237e-16
-6.700000000000001,-5.526529632191501e-16
-6.800000000000001,-5.404064952276766e-16
-6.9,-5.28160027236203e-16
-7.0,-5.159135592447295e-16
