N,E
3.0,0.0
3.0,0.1
3.0,0.2
3.0,0.30000000000000004
3.0,0.4
3.0,0.5
3.0,0.6
3.0,0.7
3.0,0.7999999999999999
3.0,0.8999999999999999
3.0,0.9999999999999999
3.0,1.0999999999999999
3.0,1.2
3.0,1.3
3.0,1.4000000000000001
3.0,1.5000000000000002
3.0,1.6000000000000003
3.0,1.7000000000000004
3.0,1.8000000000000005
3.0,1.9000000000000006
3.0,2.0000000000000004
3.0,2.1000000000000005
3.0,2.2000000000000006
3.0,2.3000000000000007
3.0,2.400000000000001
3.0,2.500000000000001
2.9628632164449766,2.592848582688092
2.9257264328899533,2.685697165376183
2.88858964933493,2.7785457480642743
2.8514528657799065,2.8713943307523655
2.814316082224883,2.9642429134404567
2.77717929866986,3.057091496128548
2.7400425151148364,3.149940078816639
2.702905731559813,3.24278866150473
2.6657689480047897,3.3356372441928213
2.6286321644497663,3.4284858268809124
2.591495380894743,3.5213344095690036
2.5543585973397196,3.6141829922570947
2.5172218137846962,3.707031574945186
2.480085030229673,3.799880157633277
2.4429482466746495,3.892728740321368
2.405811463119626,3.9855773230094593
2.3686746795646028,4.078425905697551
2.3315378960095794,4.1712744883856425
2.294401112454556,4.264123071073734
2.2572643288995327,4.356971653761826
2.2201275453445093,4.449820236449917
2.182990761789486,4.542668819138009
2.1458539782344626,4.6355174018261005
2.108717194679439,4.728365984514192
2.071580411124416,4.821214567202284
2.0344436275693925,4.914063149890375
2.1344436275693925,4.914063149890375
2.2344436275693926,4.914063149890375
2.3344436275693927,4.914063149890375
2.434443627569393,4.914063149890375
2.534443627569393,4.914063149890375
2.634443627569393,4.914063149890375
2.734443627569393,4.914063149890375
2.834443627569393,4.914063149890375
2.9344436275693933,4.914063149890375
3.0344436275693933,4.914063149890375
3.0715804111244167,4.821214567202284
3.10871719467944,4.728365984514192
3.1458539782344634,4.6355174018261005
3.182990761789487,4.542668819138009
3.22012754534451,4.449820236449917
3.2572643288995335,4.356971653761826
3.294401112454557,4.264123071073734
3.3315378960095803,4.1712744883856425
3.3686746795646036,4.078425905697551
3.405811463119627,3.9855773230094598
3.4429482466746504,3.8927287403213686
3.4800850302296737,3.7998801576332775
3.517221813784697,3.7070315749451863
3.5543585973397205,3.614182992257095
3.591495380894744,3.521334409569004
3.628632164449767,3.614182992257095
3.6657689480047906,3.7070315749451863
3.702905731559814,3.7998801576332775
3.7400425151148373,3.8927287403213686
3.7771792986698607,3.9855773230094598
3.814316082224884,4.078425905697551
3.8514528657799074,4.1712744883856425
3.888589649334931,4.264123071073734
3.925726432889954,4.356971653761826
3.9628632164449775,4.449820236449917
4.000000000000001,4.542668819138009
4.037136783555025,4.6355174018261005
4.0742735671100485,4.728365984514192
4.111410350665072,4.821214567202284
4.148547134220096,4.914063149890375
4.248547134220096,4.914063149890375
4.348547134220095,4.914063149890375
4.448547134220095,4.914063149890375
4.548547134220095,4.914063149890375
4.648547134220094,4.914063149890375
4.748547134220094,4.914063149890375
4.848547134220094,4.914063149890375
4.948547134220093,4.914063149890375
5.048547134220093,4.914063149890375
5.148547134220093,4.914063149890375
5.111410350665069,4.821214567202284
5.074273567110045,4.728365984514192
5.037136783555021,4.6355174018261005
4.999999999999997,4.542668819138009
4.9628632164449735,4.449820236449917
4.92572643288995,4.356971653761826
4.888589649334926,4.264123071073734
4.851452865779902,4.1712744883856425
4.814316082224878,4.078425905697551
4.7771792986698545,3.9855773230094598
4.740042515114831,3.8927287403213686
4.702905731559807,3.7998801576332775
4.665768948004783,3.7070315749451863
4.628632164449759,3.614182992257095
4.591495380894735,3.521334409569004
4.554358597339712,3.428485826880913
4.517221813784688,3.3356372441928217
4.480085030229664,3.2427886615047306
4.44294824667464,3.1499400788166394
4.405811463119616,3.0570914961285482
4.3686746795645925,2.964242913440457
4.331537896009569,2.871394330752366
4.294401112454545,2.778545748064275
4.257264328899521,2.6856971653761836
4.220127545344497,2.5928485826880925
4.1829907617894735,2.5000000000000013
4.1829907617894735,2.4000000000000012
4.1829907617894735,2.300000000000001
4.1829907617894735,2.200000000000001
4.1829907617894735,2.100000000000001
4.1829907617894735,2.000000000000001
4.1829907617894735,1.9000000000000008
4.1829907617894735,1.8000000000000007
4.1829907617894735,1.7000000000000006
4.1829907617894735,1.6000000000000005
4.1829907617894735,1.5000000000000004
4.1829907617894735,1.4000000000000004
4.1829907617894735,1.3000000000000003
4.1829907617894735,1.2000000000000002
4.1829907617894735,1.1
4.1829907617894735,1.0
4.1829907617894735,0.9
4.1829907617894735,0.8
4.1829907617894735,0.7000000000000001
4.1829907617894735,0.6000000000000001
4.1829907617894735,0.5000000000000001
4.1829907617894735,0.40000000000000013
4.1829907617894735,0.30000000000000016
4.1829907617894735,0.20000000000000015
4.1829907617894735,0.10000000000000014
4.1829907617894735,1.3877787807814457e-16
4.082990761789474,1.510243460696181e-16
3.9829907617894738,1.6327081406109163e-16
3.8829907617894737,1.7551728205256516e-16
3.7829907617894736,1.8776375004403869e-16
3.6829907617894735,2.0001021803551222e-16
3.5829907617894734,2.1225668602698575e-16
3.4829907617894733,2.245031540184593e-16
3.382990761789473,2.3674962200993285e-16
3.282990761789473,2.489960900014064e-16
3.182990761789473,2.6124255799287996e-16
