time.seconds,ekf.pos.north,ekf.pos.east,ekf.pos.down,ekf.vel.north,ekf.vel.east,ekf.vel.down,ekf.vel_body.north,ekf.vel_body.east,ekf.vel_body.down,ekf.att_q.w,ekf.att_q.x,ekf.att_q.y,ekf.att_q.z,ekf.att_euler.roll,ekf.att_euler.pitch,ekf.att_euler.yaw,ekf.ang_vel.roll,ekf.ang_vel.pitch,ekf.ang_vel.yaw,imu.acc_body.north,imu.acc_body.east,imu.acc_body.down,imu.ang_vel.roll,imu.ang_vel.pitch,imu.ang_vel.yaw,imu.mag.north,imu.mag.east,imu.mag.down,mocap.pos.north,mocap.pos.east,mocap.pos.down,mocap.att_q.w,mocap.att_q.x,mocap.att_q.y,mocap.att_q.z,mocap.att_euler.roll,mocap.att_euler.pitch,mocap.att_euler.yaw,info.flight_mode,info.is_armed,info.is_landed,info.battery,pos_ref.north,pos_ref.east,pos_ref.down,att_euler_ref.roll,att_euler_ref.pitch,att_euler_ref.yaw
66.956,0.0034366922918707132,0.003351282561197877,-0.05199246108531952,0.007019548676908016,0.005828049965202808,-0.003518635407090187,0.0069659739265318515,0.005731685131332789,-0.003774124794467201,-0.9998838683180814,-0.01346335899527256,0.007137870408704621,0.00013095025832321553,0.02692871540364104,-0.014276217884961941,-6.969594838555767e-05,-0.005348336882889271,0.0019391510868445039,0.001207065070047974,-0.10278403759002565,-0.272717148065567,-9.830696105957031,-0.005348336882889271,0.0019391510868445039,0.001207065070047974,-0.005348336882889271,0.0019391510868445039,0.001207065070047974,0.012980557218409362,0.0011828615286454815,-0.07057901063733707,0.9999761563327733,0.0018360222513639014,0.005166133750472638,-0.00419843426742677,0.02692871540364104,-0.014276217884961941,-6.969594838555767e-05,OFFBOARD,True,True,100.0,0.8,0.0,-1.25,,,
66.988,0.003731131087988615,0.0033963804598897696,-0.052563782781362534,0.0070352316834032536,0.005490771494805813,-0.004362584091722965,0.0069697099189652756,0.005371974764546111,-0.004608712095632546,-0.999884079052324,-0.013444560842292194,0.00714423655846329,0.00013082381777773736,0.026891115202472494,-0.014288951406938945,-6.954020190930251e-05,-0.0058006057515740395,0.0019098605262115598,0.0007665539160370819,-0.15164580941200137,-0.2554096579551697,-9.791936874389648,-0.009264333173632622,0.0007086201221682131,0.0004380649770610023,-0.009264333173632622,0.0007086201221682131,0.0004380649770610023,0.0015634257633527363,-0.010457239276858345,-0.05131657416486603,0.999892085250282,0.007517824377087505,0.006878696794948342,-0.010582235155274943,0.026891115202472494,-0.014288951406938945,-6.954020190930251e-05,OFFBOARD,True,True,100.0,0.8,0.0,-1.25,,,
67.024,0.003933595027774572,0.0032793181017041206,-0.05289068818092346,0.006861215457320213,0.005057401489466429,-0.00472363131120801,0.006790713133936711,0.004930051517518491,-0.0049545017213647345,-0.9998853013109308,-0.013359095594590704,0.007136031752438332,0.00014325713808838262,0.026720350069352677,-0.014272177645830428,-9.585376711445188e-05,-0.006288100965321064,0.0020416374318301678,-0.001986045157536865,-0.12199378758668779,-0.23711834847927094,-9.802606582641602,-0.0024025621823966507,0.0029348419047892094,0.003308132756501436,-0.0024025621823966507,0.0029348419047892094,0.003308132756501436,-0.0024120062133207954,-0.003495585337295301,-0.05276619271847972,0.9999385989007727,-0.009910128192966992,0.0026320649347528285,0.004202382864263249,0.026720350069352677,-0.014272177645830428,-9.585376711445188e-05,OFFBOARD,True,True,100.0,0.8,0.0,-1.25,,,
67.056,0.004181533120572567,0.0029869149439036846,-0.05336521193385124,0.007326808758080006,0.0035930818412452936,-0.0056400117464363575,0.0072440742188722455,0.003441803223088775,-0.005837762882843339,-0.9998858070731129,-0.013321435080540444,0.007138469354934632,0.00011248993867552041,0.026644584731782456,-0.014277863299283754,-3.477721608299006e-05,-0.007298802956938744,-0.0002895186480600387,-0.0026980109978467235,-0.1266852915287006,-0.27688315510749817,-9.85134220123291,-0.007298802956938744,-0.0002895186480600387,-0.0026980109978467235,-0.007298802956938744,-0.0002895186480600387,-0.0026980109978467235,-0.00799358882131941,-0.019036541275293306,-0.06853606528739975,0.9998484961680975,-0.0158668923257551,0.004926776146465273,0.005191658224423886,0.026644584731782456,-0.014277863299283754,-3.477721608299006e-05,OFFBOARD,True,True,100.0,0.8,0.0,-1.25,,,
67.088,0.004580983892083168,0.002536351326853037,-0.05411801114678383,0.007751129101961851,0.0019686471205204725,-0.006439297925680876,0.007657649406141546,0.0017975431366996058,-0.006599195091652174,-0.9998865235695376,-0.013270128536468018,0.007132375842602268,0.00012576619595650122,0.026542154583024325,-0.014265302704052768,-6.223067691365399e-05,-0.006903186906129122,0.001646579010412097,-0.0006416633259505042,-0.13974621891975283,-0.2680855691432953,-9.790075302124023,-0.004925167188048363,0.0005542104481719434,0.002596779260784387,-0.004925167188048363,0.0005542104481719434,0.002596779260784387,0.006178546141488678,-4.611887385668097e-05,-0.07302534767703706,0.999799396129739,0.010509288994187297,0.017025448213671433,-0.0009254493876901583,0.026542154583024325,-0.014265302704052768,-6.223067691365399e-05,OFFBOARD,True,True,100.0,0.8,0.0,-1.25,,,
67.124,0.004915614612400532,0.001953260274603963,-0.05481405556201935,0.007945392280817032,0.00032040858059190214,-0.007415479980409145,0.007838666253586353,0.00012473290156337128,-0.007533990745838031,-0.9998874508002049,-0.01319962673707691,0.007135156876059478,0.00010604147085330277,0.026400860575902435,-0.014271364873496978,-2.3704516036132593e-05,-0.00798596628010273,0.0016691852360963821,-0.0007040481432341049,-0.1204690858721721,-0.26378026604652405,-9.815725326538086,-0.006698714103549719,0.0034800146240741014,-0.0016619253437966117,-0.006698714103549719,0.0034800146240741014,-0.0016619253437966117,-0.008046038278613988,0.01093355517752498,-0.06142679600614559,0.9999424904533926,-0.007547875542376889,0.0035735004218245907,0.006728703842416496,0.026400860575902435,-0.014271364873496978,-2.3704516036132593e-05,OFFBOARD,True,True,100.0,0.8,0.0,-1.25,,,
67.156,0.0050987424328923225,0.0012326260330155492,-0.05548616871237755,0.008138077333569527,-0.0016851071268320084,-0.007812305819243193,0.00802651682713602,-0.0018889340544720468,-0.007880797338286174,-0.9998885044714176,-0.013118276734005806,0.0071371509488296495,0.00012757851044242844,0.0262384581486075,-0.014274760333222935,-6.789769609909135e-05,-0.006735276896506548,0.0014624771429225802,-1.7322774510831464e-05,-0.13206906616687655,-0.27378547191619873,-9.81765079498291,-0.006735276896506548,0.0014624771429225802,-1.7322774510831464e-05,-0.006735276896506548,0.0014624771429225802,-1.7322774510831464e-05,-0.009434853248507962,-0.00899501572606093,-0.05351157778938233,0.999869813925405,-0.012903381284206287,-0.003427779070811966,-0.009061362085930863,0.0262384581486075,-0.014274760333222935,-6.789769609909135e-05,OFFBOARD,True,True,100.0,0.8,0.0,-1.25,,,
67.188,0.005224051419645548,0.00043888966320082545,-0.056153565645217896,0.0076421401463449,-0.0038499506190419197,-0.00822784099727869,0.007525493175341813,-0.004063610892072188,-0.008232606649479368,-0.9998890945272968,-0.013073661331406737,0.007135216474337452,0.00010296475091203874,0.02614887082409315,-0.014271520586073616,-1.9346468671335943e-05,-0.006895416881889105,0.0012116319267079234,0.002853473648428916,-0.1703186333179462,-0.25042924284935,-9.808135032653809,-0.005284973420202732,0.0012765438295900822,0.0003026674967259162,-0.005284973420202732,0.0012765438295900822,0.0003026674967259162,0.005265561008589692,0.00033320192066498087,-0.059011063020104504,0.9999970387893098,-0.0022455448564318295,0.00067118160114709,0.0006553290530236073,0.02614887082409315,-0.014271520586073616,-1.9346468671335943e-05,OFFBOARD,True,True,100.0,0.8,0.0,-1.25,,,
67.224,0.005325159057974815,-0.0002494498039595783,-0.056889817118644714,0.007027880754321814,-0.004771777428686619,-0.009070384316146374,0.006899583668766779,-0.005006394817850729,-0.0090423777562825,-0.99988985317057,-0.013020076552608947,0.007130448941371909,8.888770350940014e-05,0.026041493366691024,-0.014262330278784817,7.924842792954978e-06,-0.006846195086836815,0.0010599883971735835,-0.0007006650557741531,-0.169557139277457,-0.21008947491645813,-9.780449867248535,-0.0045026494190096855,-0.00025440059835091233,-0.0013765615876764066,-0.0045026494190096855,-0.00025440059835091233,-0.0013765615876764066,-0.0024547233349411384,-0.0004242161040606621,-0.045712312983394184,0.9999398950127992,0.009418800762837643,0.005609014601488516,0.00017750825951495073,0.026041493366691024,-0.014262330278784817,7.924842792954978e-06,OFFBOARD,True,True,100.0,0.8,0.0,-1.25,,,
67.256,0.005341781303286552,-0.0006804409204050899,-0.05770918354392052,0.007066034246236086,-0.00462091900408268,-0.009812557138502598,0.006926929118626485,-0.004874654167028052,-0.009788943239035834,-0.99988985317057,-0.013013089066106995,0.007143264546769507,9.782283539372463e-05,0.02602764510171925,-0.01428773337061161,-9.715535229313125e-06,-0.005734415724873543,-0.00012054565013386309,-0.0006121954647824175,-0.12726046144962191,-0.23917783796787262,-9.829292297363281,-0.005734415724873543,-0.00012054565013386309,-0.0006121954647824175,-0.005734415724873543,-0.00012054565013386309,-0.0006121954647824175,0.0010467272705955398,-0.0031679381780310998,-0.05421982803699516,0.9999062782904204,0.008156729244124833,0.009126053538599738,0.006133314784751655,0.02602764510171925,-0.01428773337061161,-9.715535229313125e-06,OFFBOARD,True,True,100.0,0.8,0.0,-1.25,,,
